title,description,published_date,channel_id,category,duration,total_views,total_likes,total_dislikes,total_comments,video_extracted_date,thumbnail,topic_categories,video_id,transcription
Maher Zain - For The Rest Of My Life | Official Music Video,"https://youtube.com/live/bEo_lq_o7qw?feature=share
اجمل اغاني محمود هلال
---
- Maher Zain - ""For The Rest Of My Life” | Official Music video from Maher Zain's Album ""Thank You Allah"", Directed by Lena Khan. 
Subscribe to our official YouTube channel: http://bit.ly/YTAwkSubscribe
Watch entire album videos: http://bit.ly/ThankYouAlah
To buy the album (iTunes, Amazon... etc): http://www.maherzain.com/store
----

For the Rest of My Life - LYRICS

I praise Allah for sending me you my love
You've found your home it's here with me, and I'm here with you 
Now let me let you know
You've opened my heart 
I was always thinking that love was wrong
But everything was changed when you came along, oh
And there's a couple of words I want to say

Chorus:
For the rest of my life, I'll be with you
I'll stay by your side, honest and true
Till the end of my time, I'll be loving you, loving you
For the rest of my life, through days and nights 
I'll thank Allah for opening my eyes 
Now and forever I, I'll be there for you
I know it deep in my heart 

I feel so blessed when I think of you
And I ask Allah to bless all we do
You're my wife, and my friend and my strength
And I pray we're together in Jannah
Finally now I've found my self, I feel so strong 
Yes everything was changed when you came along, oh
And there's a couple of words I want to say

Chorus 

And now that you're here, in front of me
I strongly feel love
And I have no doubt, and I'll sing it loud
And that I will love you eternally

Chorus

Lyrics: Maher Zain, Charbel Amso, Abou-Daniell & Bara Kherigi
Melody & Arrangement: Maher Zain & Abou-Daniell
-
Connect with Maher Zain:
Website: http://www.MaherZain.com
Facebook: http://www.facebook.com/MaherZain
Twitter: http://www.twitter.com/MaherZain
Instagram: http://instagram.com/MaherZainOfficial
YouTube: https://www.youtube.com/MaherZainOffi...
--
Download Maher Zain Mobile App:
Android: http://bit.ly/MZApp
iOS: http://apple.co/1TP9GWE
---
Song
For the Rest of My Life (Vocals Only Version)
Artist
Maher Zain
Album
Thank You Allah (Vocals Only - No Music Version)",2021-03-15T14:00:07Z,UCUJibD5wLxDm_RwIC6v-1ng,Pets & Animals,276.0,3941078,23847,0,337,2023-11-07T11:03:39.762888,https://i.ytimg.com/vi/Pxk3iZk0ZTA/hqdefault.jpg,"https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Pop_music",Pxk3iZk0ZTA,[Music] praising cowardly are the participating Frans Willem II and you worship a soldier you well oh you follow and skinny so everything draws and probably some limited elastic mini games a farmer and we are gifts for the rest him Allah worships a2 with coat on [  Music] shouting we want more Arie of quiet but it is a haveco invented [Music] to throw it away here and deep within me much kind of best after a few hours and after school that would be a nice master to apply we all make a wheel ourselves so hands you famous jason idea and search for portal of the rest mah new next to a job rasta marilla or of the rest but actually from japan offer form [Music] and immediately offer me [Music] what you here in form here astro lift in here and there nothing  in me call [Music] well menu okay for the rest of my family what is pension and Marilla Arie for the best man from Africa but who I throw how deep in my heart for the remains but hhc at jacket out of fear and guilt in the masses email more radio quietly but this one from apk the comfort here for yes deep in me month
Ramadan in Dubai: How scores of Chinese Muslims end their fast in Dubai | Inside a Chinese Iftar,"WhatsApp news alerts:  www.khaleejtimes.com/whatsapp
Every evening, about 1,000 fasting Muslims gather at a Chinese mosque in International City to end their fast, in complete obedience to God. (Video by Nilanjana Gupta)

WATCH MORE AT: http://www.khaleejtimes.com/videos
FACEBOOK: https://www.facebook.com/khaleejtimes/
TWITTER: https://twitter.com/khaleejtimes
INSTAGRAM: https://www.instagram.com/khaleejtimes/ #khaleejtimes #dubai #news",2018-06-05T15:59:03Z,UCaeG9NIqdx-xcZGt7ETfkpA,News & Politics,294.0,152581,3813,0,330,2023-11-07T11:03:40.646193,https://i.ytimg.com/vi/LyH3xOdgzGM/hqdefault.jpg,"https://en.wikipedia.org/wiki/Food, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",LyH3xOdgzGM,"[Music] did you know that goodbye is home to thousands of Chinese Muslims located in the China cluster of international city this is the bias own version of Chinatown every evening about 1,000 fasting Muslims gather here at this Chinese mosque to end their fast in complete obedience to God in Dubai and all over UAE they are around the 300,000 Chinese there isn't any specific spot in all over UAE providing exactly Chinese food to them and also for the people who's interested into Islam they come to Islamic center to know about Islam we're also giving a platform let them come let them help this is why we're providing exactly Chinese food while women are seated in an air-conditioned hall men struggled to find a spot in the outside seating area what awaits them is an iftar plate with rice or noodles beef chicken vegetables and salad the menu for iftar changes every day the food is sourced from about 10 different restaurants many families also donate meals and packaged food such as fruits juice dates Lebon and so on here's a look at one of the restaurants that rustles up these means daily normally when people say Chinese food it's about pH an or localized Chinese food but we are the spices we are shifted from China not not purchased from locally the reason saying is that we are providing 100% Chinese flavor food to the Chinese if their people [Music] [Applause] [Music] so all these foods were going to deliver to the mosque and all these foods the material purchase at early morning after the morning prayer which is figure and we cook in the daytime and we deliver at the evening if that time so it is make sure that it's all fresh and tasty while most of the worshipers here some recently embraced Islam everyday I come here for this F tower this is gift from Allah this is a Chinese community a lot of Chinese come here so we can meet a lot of Chinese Muslim as well as Muslims from other countries so it's a very good experience we can not really communicate with our own nations but with other people from other nationalities [Music] when it's finally dusk and the prayers are heard with the first sip of water they all end there fast in unison a moment of complete spiritual bliss the mild aroma of Chinese spices waft through the air as they all opened their iftar packets together what's incredible about this Chinese community iftar is that only about 100 to 200 people here are from China the rest 800 fasting Muslims are from various other countries and walks of life but they are all united by a common faith and their love for Chinese food [Applause] [Music] you"
"Mount Semeru Eruption, here are 3 volcanoes in Indonesia with alert status","Mount Semeru in East Java experienced an eruption on Saturday (04/12/2021).This eruption is disserted with lava and hot clouds.


According to data from the National Disaster Management Agency on Monday (06/12/2021), fatalities due to this eruption reached 15 people.Meanwhile, 27 other people were declared missing.


According to the latest data, there are 3 other volcanoes that are on standby in Indonesia.


Check out the information in the following video.


Journalist Video: Garry Andrew Lotulung
Author: Maulana Ramadhan
Scriptwriter: Anasthasya
Host: Anasthasya
Video Editor: Dina Rahmawati
Producer: Sherly Puspita


#Newsupdate #Jerarbiring Harapan",2021-12-07T06:24:29Z,UCPAxpUn1mrn14xU0JpsLhDg,News & Politics,258.0,506253,2928,0,331,2023-11-07T11:03:41.174024,https://i.ytimg.com/vi/0jwjUBh-cIE/hqdefault.jpg,https://en.wikipedia.org/wiki/Society,0jwjUBh-cIE,"Hi [Music] friends kompas.com Mount Semeru in East Java experienced an eruption on Saturday Fourth of December 2020, an eruption accompanied by avalanches of lava and hot clouds as a result of which residents' houses around Mount Semeru were heavily damaged and road access was closed. According to data from the National Disaster Management Agency on Monday 6 December 2020, one fatality as a result of this eruption reached 15 people, while 27 other people were declared missing. Currently, Mount Semeru is at alert level, whereas according to data on Tuesday 7 December 2020, there are three other volcanoes in Indonesia that are on alert status. Read more Hi [Music] Mount Merapi in Central Java is the most active volcano in Indonesia. Small eruptions and lava avalanches have occurred since last January and are still ongoing to this day. On Monday 6 December 2020, Mount Merapi launched another avalanche of hot clouds. The local community was asked not to do so.  Any activity within a radius of three kilometers from the peak of Central Java Governor Ganjar Pranowo also warned the miners on the slopes of Mount Merapi to stop activities and potential dangers in all rivers that originate at Merapi are of concern to all of us and within this river body we ask everyone to  standby and indeed we hope that Marisa's staff can get information about many miners from the special representatives of the noble Rohingya who are entering the river area. I ask for higher rainfall like this. You are an orange husband and we have coordinated with the Regional Police Chief for all of us it will be created, so starting today I  give a warning [Music] apart from Mount Merapi, Mount Sinabung in North Sumatra is at level 3 or alert status pvmbg also warns the public not to carry out activities in villages that have been relocated because the eruption activity is still very high and hot clouds can occur at any time  time [Music] The activity level of Mount Ile Lewotolok in East Nusa Tenggara is at alert status. The community around the mountain is asked not to carry out activities within a radius of three kilometers from the peak or crater of the mountain. Apart from that, the community in Jontona village is advised to be aware of the potential for landslides of weathered material that could accompanied by hot clouds [Music] so news update see the latest information only on kompas.com clearly see the world [Music]"
Can you pray for badness for those who wronged us?|Question and Answer Ustadz Firanda Andirja,into,2018-05-04T09:27:09Z,UCEklilmQcZ4bT6q6c0JeWRw,Education,270.0,158813,2300,0,343,2023-11-07T11:03:41.662261,https://i.ytimg.com/vi/sG6uBUJT_4M/hqdefault.jpg,https://en.wikipedia.org/wiki/Religion,sG6uBUJT_4M,"Question, may we not be ambiguous, if we fall l..."
Israel prohibits men aged 13-55 years from entering the Al-Aqsa Mosque |World news,"World News, https://www.tvonews.com-Israel prohibits men aged 13-55 years from entering the Al-Aqsa Mosque |World news

Palestinian Muslims have not been free to worship, including during the month of Ramadan, not all Palestinian Muslims can carry out Friday prayers at the Al Aqsa Jerusalem Mosque because they are not arbitrary by Israeli police.

Kabdun01

Watch live streaming tvone only at https://www.tvonews.com/live
And don't forget to follow TVOnews social media accounts to get a variety of the latest information and updates from us:

Facebook - https://www.facebook.com/tvonews
Instagram - https://www.instagram.com/tvonews
Twitter - https://twitter.com/tvonews
Tiktok - https://www.tiktok.com/@tvonews
Website - https://tvonews.com",2023-04-07T06:02:39Z,UCER4rvDnRBPr_ncYW4UCZjg,News & Politics,126.0,25915,259,0,338,2023-11-07T11:03:41.956405,https://i.ytimg.com/vi/gXytqVIdFSw/hqdefault.jpg,https://en.wikipedia.org/wiki/Society,gXytqVIdFSw,"Palestinian Muslim viewers
are not yet free to worship, including during the month of Ramadan, not all Palestinian Muslims can
perform Friday prayers at the Al Aqsa Mosque in Jerusalem because it was
done arbitrarily by the Israeli Police. This is the Al Aqsa Mosque Complex
in Jerusalem which was once the direction of the people's Qibla  Islam before it was changed
to lead to the Kaaba in Mecca, Saudi Arabia, this mosque is also a historical site, a
witness to the Isra Mi'raj event, the Prophet Muhammad's journey from Mecca to Jerusalem and then
to the 7th heaven, however, Ramadhan at the Al-Aqsa mosque doesn't feel much different.  there
has been a surge in the number of congregations here this is not because Muslims in Jerusalem are less
enthusiastic about worshiping in the month of Ramadan but because their access to worship at the
al-aqsa mosque is severely restricted by the Israeli Police. Israel has arbitrarily made rules.
Not everyone can pray Friday prayers at al-aqsa women who pray Friday because
there is no prohibition on women of all ages but for men only
children under 12 years of age and adults over 55 years old can pray Friday prayers [Music] concessions are given to men aged 45 to
55 years but must obtain permission to  The Israeli side is arbitrarily making rules
in Jerusalem even though their power here is not recognized by international law. Not only the Friday Ramadhan prayers
this year, the Israeli police are also acting out by expelling the congregation who are
praying at the Al Aqsa Mosque."
AJR - World's Smallest Violin EASY PIANO TUTORIAL,"How To Play  AJR - World's Smallest Violin  EASY PIANO TUTORIAL played by Will McMillan

Subscribe to my channel here - 
https://www.youtube.com/channel/UCPfDF8O9GllZ-79F76Q7LXA?sub_confirmation=1

Find the best piano tutorials here -
 https://youtube.com/playlist?list=PLPrJvWvSFmYrKCAZuYJ0UfkVW4mKoJeLr

Arranged and recorded by Will McMillan

Leave a comment what songs I should cover next :)",2022-06-04T09:40:59Z,UCPfDF8O9GllZ-79F76Q7LXA,Music,272.0,605960,5248,0,344,2023-11-07T11:03:42.356924,https://i.ytimg.com/vi/5oTyJETIE_E/hqdefault.jpg,"https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Pop_music",5oTyJETIE_E,Thank you for watching.
Police guard Jews while traveling around the Al-Aqsa complex |News today tvOne,"Today's news, https://www.tvonews.com - Police Guard Jews while traveling around the Al -Aqsa Complex |News today tvOne

More than a thousand Israeli Jews invaded the Al-Aqsa Mosque courtyard in Al-Quds (East Jerusalem) which was occupied on Monday (10/4/2023).

KHI01

Watch live streaming tvone only at https://www.tvonews.com/live
And don't forget to follow TVOnews social media accounts to get a variety of the latest information and updates from us:

Facebook - https://www.facebook.com/tvonews
Instagram - https://www.instagram.com/tvonews
Twitter - https://twitter.com/tvonews
Tiktok - https://www.tiktok.com/@tvonews
Website - https://tvonews.com",2023-04-11T17:00:13Z,UCER4rvDnRBPr_ncYW4UCZjg,News & Politics,84.0,47833,231,0,344,2023-11-07T11:03:42.495881,https://i.ytimg.com/vi/QwF6jxMaV3Y/hqdefault.jpg,https://en.wikipedia.org/wiki/Society,QwF6jxMaV3Y,"we move on to the next information. Dozens of Jews are escorted by Israeli police while touring the Al Aqsa Complex. Visits like this have increased over the last few years [Music] Israeli police escort dozens of Jews visiting the Al Aqsa Complex in Jerusalem. They walk around and take photos while several other people  prayer outside the gate leading to the Al Aqsa compound by religious and nationalist Jews has increased both in size and frequency over the past few years, fueling fears that Israel will take over or divide the site. Israeli officials say they have no intention of changing the old rules.  which allows Jews to visit but not pray at the Muslim-run site. Previously tensions rose at the Al Aqsa Complex when Israeli police raided and expelled Muslim worshipers who were praying, resulting in dozens of people being injured on several occasions. Palestinians protected themselves with stones and firecrackers.  demanding the right to pray and perform iqaf at the Al Aqsa Mosque, these activities have been permitted by Israel in the past during the last 10 days of the month of Ramadan"
"NHS Crisis: 350,000 appointments and operations expected to be cancelled","Around 350,000 appointments and operations are expected to be cancelled this week, as junior doctors in England continue their 4-day strike, the most disruptive in NHS history.

The British Medical Association is asking for a 35% pay increase, but the government has called that unreasonable with the Health Secretary insisting the strikes will only put patients at ""greater risk"".

Read more here: https://news.sky.com/story/junior-doctors-strike-patient-care-on-a-knife-edge-as-up-to-350-000-appointments-could-be-cancelled-during-four-day-walkout-12854813

#nhsstrikes #costofliving #doctorstrike

SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews 

Follow us on Twitter: https://twitter.com/skynews 
Like us on Facebook: https://www.facebook.com/skynews 
Follow us on Instagram: https://www.instagram.com/skynews 
Follow us on TikTok: https://www.tiktok.com/@skynews 

For more content go to http://news.sky.com and download our apps: 
Apple https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 
Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB 

Sky News Daily podcast is available for free here: https://podfollow.com/skynewsdaily/

Sky News videos are now available in Spanish here/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/channel/UCzG5BnqHO8oNlrPDW9CYJog 

Sky News videos are also available in German here/Hier können Sie außerdem Sky News-Videos auf Deutsch finden: https://www.youtube.com/channel/UCHYg31l2xrF-Bj859nsOfnA 

To enquire about licensing Sky News content, you can find more information here: https://news.sky.com/info/library-sales",2023-04-11T18:27:15Z,UCoMdktPbSTixAyNGwb-UYkQ,News & Politics,159.0,53656,168,0,342,2023-11-07T11:03:42.754878,https://i.ytimg.com/vi/QCAXWMJjpQ4/hqdefault.jpg,"https://en.wikipedia.org/wiki/Health, https://en.wikipedia.org/wiki/Society",QCAXWMJjpQ4,[Applause] they should be on the wards or in surgery but they're out here because they say the pay is too little and the pressure is too much for us that means burnout on the level never seen before for patients most importantly it means they're not getting the quality of care they deserve and that we aspire to deliver so we feel that we've got to take action we can't be complicit in the running down of the NHS polling shows that they do still have the support from the majority of the public that's what we found with patients and taxpayers outside Salford Royal Hospital it's going to cause a lot of digital option but at the end of the day the government sort of talk about that before the bride to this and they should have sponsor him and went to something else sooner I think it will put People's Health at risk here but it's like acceptable what do you think is it acceptable um no I have sympathy for the doctor and I also have sympathy for the people who are going to need to use their NHS because you know concert appointments you know it's gonna people are gonna feel even worse some NHS trusts have canceled half of their elective surgery this week hitting cancer Services Orthopedic procedures and so much more the unions that represent England's 75 000 Junior doctors say they want a deal that puts right years of being undervalued we are ready to have discussions with them but clearly a demand for 35 over 20 000 pounds for some Junior doctors is not fair or reasonable and that is why we've not been able to make progress so far that means summer faces delays for her gallbladder treatment the pain is unbearable I broke my ankle before and I'd rather have that three times again than have this vein the only way she felt she could get the surgery she needs was to take out a loan and go private I feel really jaded towards the government who have made us you know maybe put me in a position where I've got to pay National Insurance but also pay for things privately which is you know essentially what the national insurance payments are there to do no Junior doctor wants to run this level of risk but they say they are so overstretched and so under appreciated that there is no other option four consecutive days of this leaves acute short-term problems this week but more long term the government's big promises to reduce the backlogs postcovid well they are far more difficult to achieve both sides know how much harm this is doing there will have to be talks it's just a question of when Tom partmenter Sky News greater Manchester
"The strike action hit England, the largest in a decade","Britain faces the biggest demonstration in more than 1 decade.More than half a million workers consisting of school teachers, staff and university lecturers, machinists and other civil servants from a number of sectors held a strike and took to the streets on Wednesday 1 February 2023.

More information in the CNBC Indonesia Squawk Box Program (Thursday, 02/02/2023) below.

Continue to follow the business of business economics and in -depth analysis only at https://www.cnbcindonesia.com/.

CNBC Indonesia is affiliated with International CNBC and operates under the Transmedia Group and joined with Trans TV, Trans7, AFP, Transvision, CNN Indonesia and CNN Indonesia.com.
CNBC Indonesia can be enjoyed through Transvision Channel 805 or streaming through the CNBC Indonesia application that can be downloaded on Playstore or iOS.

Follow us on social:

Twitter: https://twitter.com/cnbcindonesia

Facebook Page: https://www.facebook.com/cnbcindonesia/

Instagram: https://www.instagram.com/cnbcindonesia/
https://www.instagram.com/cuap_cuan/

Tiktok: https://bit.ly/38Bytjx

Spotify: https://spoti.fi/2br7kkt",2023-02-02T03:50:08Z,UCGN9JsnkvK05v2lnTI_-uGA,People & Blogs,93.0,89417,765,0,342,2023-11-07T11:03:42.491878,https://i.ytimg.com/vi/MwlASIIX7Mc/hqdefault.jpg,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",MwlASIIX7Mc,"Britain is facing the biggest demonstrations in more than a decade, more than half a million workers consisting of school teachers, staff, university lecturers, machinists and other civil servants from a number of sectors went on strike and took to the streets on Wednesday 1 February 2023. The national strike was not  This has been the case since a wage dispute in 2011 when more than 1 million workers took to the streets. The National Education Union noted that around 300,000 teachers across the UK are taking strike action as they have experienced at least a 23% cut in their salaries since 2010. They are demanding a pay rise above the rate of inflation.  The two- digit spike in the country as a result of this action caused many schools to close, travel was also disrupted because workers put up guard lines and went on strike. Apart from that, the Trade Union workers' congress representing all Unions in the country Raja charge 3 also joined in the national demonstration of workers protesting against the draft law.  -The government's anti-strike law was passed in the lower house of parliament on Tuesday. The bill imposes restrictions on industrial action in certain sectors. Workers who refuse to work on strike days can face dismissal."
"Discussing War in Ukraine, Emmanuel Macron failed to influence & urge Xi Jinping to hostile to Russia","TRIBUN-VIDEO.COM - Chinese President Xi Jinping was not moved by the rhetoric of French President Emmanuel Macron about conflicts in Ukraine.

The pressure that France tried to spread on China to be hostile to Russia, did not seem to have much effect.

Previously, he told French reporters that 'anyone who helped the aggressor would become an accomplice that violated international law'.

Quoted from the Russia Today page, Saturday (8/4/2023), Xi responded by saying China 'was willing to be with France begging the international community to remain rational and calm' and repeat the position of China in the conflict.

Macron violated the protocol by speaking almost twice longer than Xi, and turned to demands that China condemned the 'War launched by Russia against Ukraine'.

According to Politico, Xi Jinping 'looks impatient and annoyed' when Macron spoke, and 'sighed deeply' when the discussion about Ukraine.

Previously, Macron announced the trip to China right after Xi Jinping spent three days in Moscow, Russia.

Xi Jinping signed a series of agreements with Russian President Vladimir Putin.

At one point, he was heard telling Putin that the two countries they led would encourage changes that had never been seen by the world for more than a century.

Meanwhile, 'The problem of piling up at Macron's house', the strike of sanitation workers makes France buried in garbage that is not collected.

In addition, mass protests against retirement reforms that he imposed through the decree continued throughout France.

The new poll shows Macron's political rival, the Marine Le Pen is now more popular.

Macron is scheduled to travel from Beijing to Guangzhou with Xi Jinping on Friday local time for further discussion and personal dinner.

European Commission President Ursula von der Leyen who was brought by Macron to 'display European unity' also met with Xi Jinping on Thursday, but was not included in many bilateral meetings.

Appearing at a press conference alone on Thursday night, Von Der Leyen repeated the points of the conversation between the European Union without paying much attention to his host.

He brought up Taiwan, said that every threat of violence to change his status was 'unacceptable'.

This European Union official also believes that giving weapons to Russia will significantly damage relations between the EU and China '.

He hopes that China 'plays its role and promotes a fair peace, which respects the territorial sovereignty of Ukraine'.


This article has been published on Tribunnews.com with the title French President Emmanuel Macron failed to change Xi Jinping's thoughts about Ukraine, https://www.tribunnews.com/international/2023/04/08/presiden-prancis-emmanuel-macron-gagal-Change-thought-xi-jinping-soal-Ukraine.
Author: Fitri Wulandari
Editor: Dewi Agustina

Host: Dhanti Wahyu
Video Production: Salim Maula

#Beritaterbaru #beritaterkini #beritaViral #live #breakingnews",2023-04-09T05:42:51Z,UCmxAIW7RDDC88EPk4ry16Kg,News & Politics,190.0,84470,672,0,346,2023-11-07T11:03:42.493912,https://i.ytimg.com/vi/gFM60VPkfvM/hqdefault.jpg,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",gFM60VPkfvM,"Chinese President Si Jinping was unmoved by French President Emanuel Micron's rhetoric on the conflict in Ukraine. The pressure that France is trying to put on China to make it hostile to Russia seems to have had little effect before he told French journalists that anyone who helps the aggressor will be an accomplice in violation of international law quoted from the page Russia today 2023 si responded By saying China is willing to work together France appealed to the international community to remain rational and calm and reiterated China's position on the conflict background broke protocol by speaking almost twice as long as si and switched to demanding that China  condemning the war launched by Russia against Ukraine according to politico signing a series of agreements with Russian President Vladimir Putin at one point he is heard telling Putin that the 2 countries they Lead will push for changes the world has not seen in over a century while problems pile up at home in Mekron a sanitation workers strike leaves France buried in rubbish. not collected In addition, mass protests against the pension reform he implemented by decree continue throughout France. New polls show Mekron's political rival, Marine, is now becoming more popular. Background is scheduled to travel from Beijing to Guangzhou with Si Jinping on Friday local time for the speaker more information and a private dinner for European Commission President Ursula vfonder Lion, who was brought by Macron to showcase European unity, also met with Soo Jinping on Thursday but was not included in many bilateral meetings. Without paying much attention to his host he brought up Taiwan saying that any threat of violence to change its status was unacceptable. This European Yuni official also argued that providing weapons to Russia would significantly damage relations between UI and China. He hoped that China would play its role and promote a fair and just peace.  respecting Ukraine's territorial sovereignty. Thank you for watching. Don't forget to like, subscribe and share"
"Discussing War in Ukraine, Emmanuel Macron failed to influence & urge Xi Jinping to hostile to Russia","TRIBUN-VIDEO.COM - Chinese President Xi Jinping was not moved by the rhetoric of French President Emmanuel Macron about conflicts in Ukraine.

The pressure that France tried to spread on China to be hostile to Russia, did not seem to have much effect.

Previously, he told French reporters that 'anyone who helped the aggressor would become an accomplice that violated international law'.

Quoted from the Russia Today page, Saturday (8/4/2023), Xi responded by saying China 'was willing to be with France begging the international community to remain rational and calm' and repeat the position of China in the conflict.

Macron violated the protocol by speaking almost twice longer than Xi, and turned to demands that China condemned the 'War launched by Russia against Ukraine'.

According to Politico, Xi Jinping 'looks impatient and annoyed' when Macron spoke, and 'sighed deeply' when the discussion about Ukraine.

Previously, Macron announced the trip to China right after Xi Jinping spent three days in Moscow, Russia.

Xi Jinping signed a series of agreements with Russian President Vladimir Putin.

At one point, he was heard telling Putin that the two countries they led would encourage changes that had never been seen by the world for more than a century.

Meanwhile, 'The problem of piling up at Macron's house', the strike of sanitation workers makes France buried in garbage that is not collected.

In addition, mass protests against retirement reforms that he imposed through the decree continued throughout France.

The new poll shows Macron's political rival, the Marine Le Pen is now more popular.

Macron is scheduled to travel from Beijing to Guangzhou with Xi Jinping on Friday local time for further discussion and personal dinner.

European Commission President Ursula von der Leyen who was brought by Macron to 'display European unity' also met with Xi Jinping on Thursday, but was not included in many bilateral meetings.

Appearing at a press conference alone on Thursday night, Von Der Leyen repeated the points of the conversation between the European Union without paying much attention to his host.

He brought up Taiwan, said that every threat of violence to change his status was 'unacceptable'.

This European Union official also believes that giving weapons to Russia will significantly damage relations between the EU and China '.

He hopes that China 'plays its role and promotes a fair peace, which respects the territorial sovereignty of Ukraine'.


This article has been published on Tribunnews.com with the title French President Emmanuel Macron failed to change Xi Jinping's thoughts about Ukraine, https://www.tribunnews.com/international/2023/04/08/presiden-prancis-emmanuel-macron-gagal-Change-thought-xi-jinping-soal-Ukraine.
Author: Fitri Wulandari
Editor: Dewi Agustina

Host: Dhanti Wahyu
Video Production: Salim Maula

#Beritaterbaru #beritaterkini #beritaViral #live #breakingnews",2023-04-09T05:42:51Z,UCmxAIW7RDDC88EPk4ry16Kg,News & Politics,190.0,84470,672,0,346,2023-11-07T11:03:42.732878,https://i.ytimg.com/vi/gFM60VPkfvM/hqdefault.jpg,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",gFM60VPkfvM,"Chinese President Si Jinping was unmoved by French President Emanuel Micron's rhetoric on the conflict in Ukraine. The pressure that France is trying to put on China to make it hostile to Russia seems to have had little effect before he told French journalists that anyone who helps the aggressor will be an accomplice in violation of international law quoted from the page Russia today 2023 si responded By saying China is willing to work together France appealed to the international community to remain rational and calm and reiterated China's position on the conflict background broke protocol by speaking almost twice as long as si and switched to demanding that China  condemning the war launched by Russia against Ukraine according to politico signing a series of agreements with Russian President Vladimir Putin at one point he is heard telling Putin that the 2 countries they Lead will push for changes the world has not seen in over a century while problems pile up at home in Mekron a sanitation workers strike leaves France buried in rubbish. not collected In addition, mass protests against the pension reform he implemented by decree continue throughout France. New polls show Mekron's political rival, Marine, is now becoming more popular. Background is scheduled to travel from Beijing to Guangzhou with Si Jinping on Friday local time for the speaker more information and a private dinner for European Commission President Ursula vfonder Lion, who was brought by Macron to showcase European unity, also met with Soo Jinping on Thursday but was not included in many bilateral meetings. Without paying much attention to his host he brought up Taiwan saying that any threat of violence to change its status was unacceptable. This European Yuni official also argued that providing weapons to Russia would significantly damage relations between UI and China. He hoped that China would play its role and promote a fair and just peace.  respecting Ukraine's territorial sovereignty. Thank you for watching. Don't forget to like, subscribe and share"
Beautiful Azan Al Alim Sheikh Ziyauddeen bin Nizaruddeen (Indonesia 🇮🇩),into,2023-03-29T21:46:58Z,UCXQfBw1gPm2N6okFv9olccg,People & Blogs,224.0,349933,6966,0,339,2023-11-07T11:03:42.114340,https://i.ytimg.com/vi/Q6vh507CoUs/hqdefault.jpg,https://en.wikipedia.org/wiki/Religion,Q6vh507CoUs,Allah is Allah's Akbar Allahu Akbarullah Ashdat...
