title,description,published_date,channel_id,category,duration,total_views,total_likes,total_comments,video_extracted_date,video_id
[Trailer] Robogeisha,"*See my Channel for more independent, cult, foreign, animation and genre flicks*

http://www.robogeisha.com/

Buy Robogeisha:
http://funient.us/Robogeisha_amzn 

""Yoshie, the younger and ill-treated sister of a renowned Geisha, is discovered to have natural strength and fighting ability. She's recruited into an army of Geisha assassins by the rich and powerful owner of a steel-works, Kageno. During training large (and interesting) parts of their bodies are altered into weaponry directly linked to their brains. Yoshie soon realizes that Kagenos real plan is to have his robotic castle throw a new and very powerful nuclear bomb into the centre of Fuji-san, effectively destroying Japan entirely. With the help of other 'Kageno defectors', she sets out to stop him and his Tengu warriors.""",2009-06-30T16:07:29Z,UCAljeN0lcUEVuWgVIRoDJKw,Film & Animation,201,1994634,6218,2191,2023-08-26T17:54:50.825556,Wo-gGes6qig
The Pacific Season1 Official Trailer (2010) | HBO,"The Pacific Theatre of World War 2, as seen through the eyes of several young Marines. Starring  James Badge Dale, Joseph Mazzello, and Jon Seda.

#ThePacific

Subscribe to the HBO YouTube Channel: https://goo.gl/JQUfqt
 
Don’t have HBO? Order Now: https://play.hbonow.com/

Get More The Pacific
Like on Facebook: https://www.facebook.com/thepacific
Official Site: http://www.hbo.com/the-pacific

Get More HBO:
Get HBO GO: https://play.hbogo.com/
Like on Facebook: https://www.facebook.com/HBO
Follow on Twitter: https://twitter.com/hbo
Like on Instagram: https://www.instagram.com/hbo/
Subscribe on Tumblr: http://hbo.tumblr.com/
Official Site: http://www.hbo.com

Executive produced by Tom Hanks, Steven Spielberg, and Gary Goetzman, The Pacific is an epic ten-part miniseries. The Pacific tracks the intertwined real-life stories of three U.S. Marines – Robert Leckie, John Basilone, and Eugene Sledge – across the vast canvas of the Pacific Theater during World War II. The miniseries follows these men and their fellow Marines from their first battle with the Japanese on Guadalcanal, through the rain forests of Cape Gloucester and the strongholds of Peleliu, across the bloody sands of Iwo Jima and through the horror of Okinawa, and finally to their triumphant but uneasy return home after V-J Day.

The Pacific is based in part on the books “Helmet for My Pillow,” by Robert Leckie, and “With the Old Breed,” by Eugene B. Sledge, with additional material from “Red Blood, Black Sand,” by Chuck Tatum, and “China Marine,” by Eugene B. Sledge, as well as original interviews conducted by the filmmakers.",2009-07-13T14:56:57Z,UCVTQuK2CaWaTgSsoNkn5AiQ,Entertainment,92,5939384,11760,2710,2023-08-26T17:57:19.847518,e99B80crU3E
Whip It - Official Theatrical Trailer,"The directorial debut of Drew Barrymore, stars Ellen Page (Juno) as Bliss, a rebellious Texas teen who throws in her small town beauty pageant crown for the rowdy world of roller derby. Marcia Gay Harden (Mystic River, Pollock) plays Bliss disapproving mother, while Kristen Wiig (Saturday Night Live) and Juliette Lewis (Old School) play roller-derby stars.
In Theaters October 2!",2009-07-16T17:16:44Z,UCor9rW6PgxSQ9vUPWQdnaYQ,Film & Animation,142,5002095,18165,1644,2023-08-26T17:50:09.191110,RQGPdXnb2Gg
Ninja Assassin - Official Trailer [HD],"Ninja Assassin - Official Trailer

Release Date: Wednesday November 25th, 2009.
Genre: Action
Cast: Bi Rain, Naomie Harris, Stephen Marcus, Randall Duk Kim, Yuki Iwamoto
Director: James McTeigue
Writer: Matthew Sand, J. Michael Straczynski
Studio: Warner Brothers

========================================

Wow, I'm really excited about this one. I can't believe that is Bi Rain! He's sure come a long way from singing; and from acting in small romance TV shows. And his English? Wow, it sure has improved by the sounds of it. In 'Speed Racer' he had very little lines and was sort of hard to understand with his heavy accent. But in this trailer, his English is almost perfect.

In comparison, I'm surprised singers/actors like Justin Timberlake hasn't attempted to take on roles like this here in North America. Wow, seriously, I now have a new-found respect for Rain.

========================================

Plot: 
Ninja Assassin follows Raizo (Rain), one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.

In Berlin, Europol agent Mika Coretti (Naomie Harris) has stumbled upon a money trail linking several political murders to an underground network of untraceable assassins from the Far East. Defying the orders of her superior, Ryan Maslow (Ben Miles), Mika digs into top secret agency files to learn the truth behind the murders. Her investigation makes her a target, and the Ozunu Clan sends a team of killers, led by the lethal Takeshi (Rick Yune), to silence her forever. Raizo saves Mika from her attackers, but he knows that the Clan will not rest until they are both eliminated. Now, entangled in a deadly game of cat and mouse through the streets of Europe, Raizo and Mika must trust one another if they hope to survive and finally bring down the elusive Ozunu Clan. 

========================================

Thanks for watching! Please don't forget to comment, rate, favourite, and/or subscribe! 

========================================",2009-07-29T09:16:29Z,UCH5LcfH3fSDZh5QxPpcbpPw,Film & Animation,123,5156727,12857,1234,2023-08-26T17:50:16.493835,NhYH26KTNbQ
Watch The New LEGION Trailer - In Theaters 1/22/10,"Release Date: 22 January 2010 (United States)
At a remote desert truck stop, the fate of the world will be decided. Evil's armies are amassing. Armed and united by the Archangel Michael (Paul Bettany), a group of strangers become unwitting soldiers on the frontlines of the Apocalypse. Their mission: protect a waitress and her sacred unborn child from the relentless, bloody siege of the demonic legion. Also starring Dennis Quaid (G.I. JOE: THE RISE OF THE COBRA, VANTAGE POINT), Tyrese Gibson (TRANSFORMERS) and Lucas Black (JARHEAD).

Genre: Action / Fantasy / Horror
Cast: Lucas Black, Charles Dutton, Dennis Quaid, Jon Tenney, Paul Bettany, Tyrese Gibson, Willa Holland, Kevin Durand, Kate Walsh
Director: Scott Charles Stewart
Screenplay By: Peter Schink, Scott Stewart

Subscribe to Sony Pictures for more great content: http://bit.ly/SonyPicsSubscribe
http://Legion-Movie.com/",2009-08-17T21:47:34Z,UCz97F7dMxBNOfGYu3rx8aCw,Film & Animation,154,2538610,9005,2401,2023-08-26T17:50:27.947785,P6p01-in6-k
The Exorcism Of Emily Rose Trailer HD,"In Theaters:25 November 2005 (UK)

When a younger girl called Emily Rose (Carpenter) dies, everyone puts blame on the exorcism which was performed on her by Father Moore (Wilkinson) prior to her death. The priest is arrested on suspicion of murder. The trail begins with lawyer Erin Bruner (Linney) representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.

Genre:Horror
Director:Scott Derrickson
Cast:Laura Linney, Tom Wilkinson, Campbell Scott",2009-08-18T16:55:28Z,UCWxK-yB3jC0TtxRsHZ1SGXg,Film & Animation,119,7953970,11217,2570,2023-08-26T17:47:16.957241,lSy7DldFdUI
"""Gamer"" - Official Trailer [HQ HD]","After ""Surrogates"" and ""Thigmoo"" (book), comes the ultimate high-tension movie about real-life cyber control...
In theaters on  September 4, 2009.
Starring: Gerard Butler, Ludacris (Chris Bridges), Michael C. Hall, Amber Valletta, Alison Lohman, Logan Lerman
GAMER is a high-concept action thriller set in a near future when gaming and entertainment have evolved into a terrifying new hybrid. Humans control other humans in mass-scale, multi-player online games: people play peoplefor keeps. Mind-control technology is widespread, and at the heart of the controversial games is its creator, reclusive billionaire Ken Castle (Michael C. Hall). His latest brainchild, the first-person shooter game Slayers, allows millions to act out their most savage fantasies online in front of a global audience, using real prisoners as avatars with whom they fight to the death.

GAMER is a high-concept action thriller set in a near future when gaming and entertainment have evolved into a terrifying new hybrid. Humans control other humans in mass-scale, multi-player online games: people play peoplefor keeps. Mind-control technology is widespread, and at the heart of the controversial games is its creator, reclusive billionaire Ken Castle (Michael C. Hall). His latest brainchild, the first-person shooter game Slayers, allows millions to act out their most savage fantasies online in front of a global audience, using real prisoners as avatars with whom they fight to the death.",2009-08-25T09:47:09Z,UCrn0tTHBq2i3DKDlq0eA__g,Film & Animation,151,3092135,6768,1167,2023-08-26T17:50:06.354017,P2g94xQmtHw
Official Agora Trailer English HD,"Official Agora Trailer English

Release Date: TBA
Studio: Not Available
Director: Alejandro Amenabar
Screenwriter: Mateo Gil, Alejandro Amenabar
Starring: Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom, Michael Lonsdale, Rupert Evans, Homayoun Ershadi
Genre: Adventure, Drama, History, Romance
MPAA Rating: Not Available
Official Website: Agorathemovie.com
Review: Not Available
DVD Review: Not Available
DVD: Not Available
Movie Poster: Not Available
Production Stills: Not Available

Plot Summary: 4th century A.D. Egypt under the Roman Empire... Violent religious upheavel in the streets of Alexandria spills over into the city's famous Library. Trapped inside its walls, the brilliant astronomer Hypatia and her disciples fight to save the wisdom of the Ancient World... Among them, the two men competing for her heart: The witty, priviliged Orestes and Davus, Hypatia's young slave, who is torn between his secret love for her and the freedom he knows can be his if he chooses to join the unstoppable surge of the Christians.",2009-08-27T23:10:20Z,UCq_m8wU9IQR__o20dcnMYJg,Entertainment,132,2160935,2900,1532,2023-08-26T17:50:33.169579,RbuEhwselE0
"""Cirque Du Freak: The Vampire's Assistant"" - Official Trailer [HD HQ]","Probably the most intelligent vampires movie so far...?
Coming to theatres on October 23, 2009.
Starring: John C. Reilly, Ken Watanabe, Josh Hutcherson, Chris Massoglia, Ray Stevenson, Patrick Fugit

Cirque Du Freak: The Vampires Assistant, based on the popular series of books by Darren Shan, is a fantasy-adventure about a teenager who unknowingly breaks a 200-year-old truce between two warring factions of vampires. Pulled into a fantastic life of misunderstood sideshow freaks and grotesque creatures of the night, one teen will vanish from the safety of a boring existence and fulfill his destiny in a place drawn from nightmares. 16-year-old Darren (Chris Massoglia) was like most kids in his suburban neighborhood. He hung out with his best friend Steve (Josh Hutcherson), got decent grades and usually stayed out of trouble. But when he and his buddy stumble upon a traveling freak show, things begin to change inside Darren. Thats the exact moment when a vampire named Larten Crepsley (John C. Reilly) turns him into something, well, bloodthirsty. Newly undead, he joins the Cirque Du Freak, a touring sideshow filled with monstrous creatures from a snakeboy and a wolfman to a bearded lady (Salma Hayek) and a gigantic barker (Ken Watanabe). As Darren flexes his newfound powers in this dark world, he becomes a treasured pawn between the vampires and their deadlier counterparts. And while trying to survive, one boy will struggle to keep their brewing war from devouring whats left of his humanity.",2009-09-02T16:01:55Z,UCuJXQzdMnQuNGkYJqgIwb-w,Film & Animation,149,1775090,4925,2018,2023-08-26T17:50:14.388232,93FNs4lDgeI
Black Dynamite (Official Movie Trailer),"When The Man murders his brother, pumps heroin into local orphanages, and floods the ghetto with adulterated malt liquor, BLACK DYNAMITE is the one hero willing to fight all the way from the blood-soaked city streets to the hallowed halls of the Honky House.  Michael Jai White (The Dark Knight) stars as BLACK DYNAMITE, a gun-toting, nunchuck-wielding, ladies man and soul brother.  Written and directed by Scott Sanders (Thick as Thieves), BLACK DYNAMITE also stars Tommy Davidson, Nicole Sullivan, Bokeem Woodbine, Arsenio Hall and John Salley. Black Dynamite in theaters on Oct. 16th.",2009-10-01T20:24:30Z,UCJ5mYalP0ZkQfxyP5P-MMcw,Film & Animation,140,2737223,18647,1425,2023-08-26T17:50:14.781362,96Y24a0cyCE
Wrong Turn (2003) Trailer,"Six people find themselves trapped in the woods of West Virginia hunted down by ""cannibalistic mountain men grossly disfigured through generations of in-breeding"".

Starring Eliza Dushku, Desmond Harrington, Jeremy Sisto, and Emmanuelle Chriqui.",2009-10-19T05:57:57Z,UCUW90ZO256Th0pJ0yrgfPQw,Entertainment,129,6878803,15241,1524,2023-08-26T17:44:39.034624,naUUyD-_oPc
The King of Fighters - Official Trailer HD,The King of Fighters  Trailer 2010,2009-10-27T18:06:04Z,UCLam7N19iwMvCdObVuX_dwQ,Film & Animation,125,3621817,1928,1868,2023-08-26T17:51:18.053478,oy-LMbfTAGQ
PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"Click Here To Purchase: http://bit.ly/d230RB

(Blu-ray/DVD Combo + Digital Copy)  in stores September 14, 2010.

Become a fan of PRINCE OF PERSIA on Facebook at: http://facebook.com/PrinceOfPersiaMovie

Set in the mystical lands of Persia, PRINCE OF PERSIA: THE SANDS OF TIME is an epic action-adventure about a rogue prince (JAKE GYLLENHAAL) and a mysterious princess (GEMMA ARTERTON) who race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time—a gift from the gods that can reverse time and allow its possessor to rule the world.",2009-11-04T17:26:05Z,UCuaFvcY4MhZY3U43mMt1dYQ,Film & Animation,151,6668511,19284,1361,2023-08-26T17:50:48.207738,bZ7Li5w2I-k
It was Tuesday - Street Fighter 1994,"Chun Li (Ming-Na) antagonizes her captor, General M. Bison (Raul Julia) in this 1994 video game movie starring Jean-Claude Van Damme. This is the greatest scene in this god awful movie. ""... but for me, it was Tuesday.""",2009-11-05T08:45:50Z,UCQFoj9KNkxgXJcKaxIvpkPA,Comedy,94,854811,14221,1388,2023-08-26T17:41:40.777894,iVzAMmpMra8
The Final (official trailer 2010),"In the scenic and remote county of Rocky Branch, Texas, the Workley ranch house would become the infamous scene known internationally on the internet as The Final.Dane, an awkward student with a deadly vendetta and suicidal tendencies, leads a group of outcasts who plot to avenge the years of humiliation they faced by the popular students at Hohn High School. Employing ideas inspired both from their classes as well as from horror films they watched, the outcasts turn the tables on the popular students who made sport of them. After receiving a lake-house granted to him in his uncles will, Dane and his friends, Jack, Ravi, Andy and Emily prepare for a single night that will leave their tormentors scarred for life physically and emotionally


Genre: Drama, Horror, Thriller


Actors: Marc Donato, Jascha Washington, Whitney Hoy, Justin Arnold, Travis Tedford, Julin, Lindsay Seidel, Mark Nutter, Hunter Garner, Eric Isenhower, Preston Flagg, Matthew Posey, Laura Ashley Samuels, Vincent Silochan, Farah White, Daniel Ross, Ryan Hayden, Morgana Shaw

Director: Joey Stewart

Producers: Jason Kabolati

Writers: Jason Kabolati",2009-11-26T13:58:33Z,UCvU0H2ejZiLXe6IX1rUiZ5w,Film & Animation,129,1504192,5062,1122,2023-08-26T17:50:40.782700,AZ4kMo2ATdI
The Butterfly Effect (2004) Trailer,"The Butterfly Effect  Trailer taken from The Butterfly Effect [DVD]

This Video Clip Is In No Way Profitable, All Copyright Reserved To Their Owners.

Ripped Using AVSVideoConverter & DVD43 Decoding Software

Starring:
Ashton Kutcher
Melora Walters
Amy Smart
Elden Henson
William Lee Scott

Director:
Eric Bress & J. Mackye Gruber

AKA:
El efecto mariposa
L'effet papillon
Domino efekt
Efeito Borboleta
Efekt motyla
Kelebek etkisi
Liblikaeffekt
Nabi hyogwa
Perhosvaikutus
To fainomeno tis petaloudas

(info from: imdb.com)",2009-12-06T15:51:43Z,UCjK_6jUX_GN20l5-Td2bTsQ,Film & Animation,145,4354700,15705,2025,2023-08-26T17:45:07.721092,B8_dgqfPXFg
HD 1080p | Tim Burton's The Nightmare Before Christmas Intro - This is Halloween,"This is the introduction to Tim Burton's ""The Nightmare Before Christmas"" in Blu-ray quality. Buy the movie; it's great!",2009-12-07T08:37:22Z,UCv5GsuzbWtk6acPBdV7GJSw,Entertainment,269,7041771,32196,2709,2023-08-26T17:41:45.066139,vHLgob-PpIk
The Lovely Bones - Trailer [HD],"Based on the critically acclaimed best-selling novel by Alice Sebold, and directed by Oscar winner Peter Jackson from a screenplay by Jackson & Fran Walsh & Philippa Boyens, The Lovely Bones centers on a young girl who has been murdered and watches over her family - and her killer - from heaven. She must weigh her desire for vengeance against her desire for her family to heal. Oscar nominee Mark Wahlberg and Oscar winners Rachel Weisz and Susan Sarandon star along with Stanley Tucci, Michael Imperioli and Oscar nominee Saoirse Ronan.

Studio: DreamWorks Pictures
Release: December 11, 2009
Director: Peter Jackson
Writer: Peter Jackson, Fran Walsh, Philippa BoyensMark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci, Michael Imperioli, Saoirse Ronan
Cast: Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci, Michael Imperioli, Saoirse Ronan
Genre: Crime, Drama, Fantasy, Horror, Thriller",2009-12-10T21:53:04Z,UCfibc7vcRzjUhCle9rM9Y8g,Film & Animation,150,3205093,16704,1991,2023-08-26T17:50:18.534201,jvWXV-c2hWo
'Repo Men' Trailer HD,For more info on 'Repo Men' visit: http://www.hollywood.com,2010-01-12T18:18:00Z,UCpo2fJvnalYlwN97ehhyfBQ,Film & Animation,151,4676901,5995,1909,2023-08-26T17:50:36.856173,jl9Nvg4yuus
Triangle - Trailer,"When Jess (Melissa George) sets sail on a yacht with a group of friends, she cannot shake the feeling that there is something wrong. Her suspicions are realized when the yacht hits a storm in the Bermuda Triangle and the group is forced to board a passing ocean liner to get to safety. The ship appears deserted, but Jess is convinced she's been on board before. They soon realize they are not alone... Someone is intent on hunting them down, one by one. 

MPAA Rating: R Rated R for violence and language.

Cast: Melissa George, Joshua McIvor and Jack Taylor",2010-02-10T23:45:25Z,UC6X1_MrpuYP3vIk9kJpCrqw,Film & Animation,102,4790505,17558,2109,2023-08-26T17:50:29.771130,17XqBdCiHOI
Keith - OFFICIAL TRAILER,"Now on DVD and Digital Download!
More info http://www.watchimage.com/product/keith/d1a1e163-c6a4-43c4-89de-9c0200cc1cd4

Smart and popular high school senior Natalie (Elisabeth Harnois, TV's One Tree Hill) thinks she has her life figured out, but everything changes when she meets a mysterious boy with nothing to lose. International singing sensation Jesse McCartney (TV's Summerland) is unforgettable as Keith in his first major feature film role. Offbeat and free-spirited, Keith takes Natalie on a deliriously wild journey unlike anything she's ever experienced. But he's got a dark secret...one that becomes Natalie's obsession to uncover.",2010-02-23T18:01:19Z,UC7QRIwDb8shSnZE8XB0lx4A,Entertainment,116,3385766,10511,1917,2023-08-26T17:50:16.359384,Fi4P5ksvBLo
Hatchi: A Dog's Tale - HD Trailer - Coming Soon,"A college professor takes in a dog he finds abandoned, and both find their lives changed forever as they form an unbreakable bond. Based on the true story of Hachiko, an Akita dog in 1920s Japan remembered for his remarkable loyalty to his master.",2010-02-23T19:17:42Z,UCfWMxyvASxrO_j_HcMwBZ-A,Entertainment,132,2970186,13463,2090,2023-08-26T17:50:23.630616,Y6U7mAnPtw4
'After.Life' Trailer HD,For more info on 'After.Life' visit: http://www.hollywood.com,2010-03-03T15:37:07Z,UCpo2fJvnalYlwN97ehhyfBQ,Film & Animation,118,5845149,5453,1654,2023-08-26T17:50:39.375651,C_F8lpJXUTA
WEEKEND AT BERNIES TRAILER,The Trailer on the movie Weekend At Bernies Enjoy!,2010-03-18T17:48:33Z,UCk9iv7h2iKUvw3nzzouzzQg,Film & Animation,154,1902324,7145,1109,2023-08-26T17:41:58.326433,YCTgcZ6ImsQ
'Lottery Ticket' Trailer HD,For more info on 'Lottery Ticket' visit: http://www.hollywood.com,2010-04-07T13:59:25Z,UCpo2fJvnalYlwN97ehhyfBQ,Film & Animation,153,3047360,5310,1652,2023-08-26T17:51:57.474327,TBtplgiBm2k
Mega Piranha Trailer (Official),"Official Asylum trailer for Mega Piranha (US-2010; dir. Eric Forsberg)

Mutated piranha that spawn, get bigger and bigger and bigger, Tiffany, Paul Logan and Barry Williams (ex-Brady Bunch).

Official website: http://www.theasylum.cc/product.php?id=169",2010-04-08T11:43:57Z,UCeOmRYELWb3snSbgBCLGbkg,Film & Animation,80,2644269,2019,1978,2023-08-26T17:57:46.626244,pFhSogGnu4I
